epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1344.33,0.72798,2.33817,0.93325,0.87889,0.90391,0.94137,0.80528,0.58063,0.69034,0.88299,0.00022135,0.00022135,0.00022135
2,1421.3,0.65442,1.10637,0.90301,0.89186,0.91002,0.95005,0.81972,0.56606,0.60188,0.87442,0.00043929,0.00043929,0.00043929
3,1498.31,0.64612,0.90751,0.90879,0.91105,0.94012,0.96838,0.84491,0.54071,0.52415,0.8639,0.000652829,0.000652829,0.000652829
4,1574.29,0.6323,0.76183,0.90179,0.92201,0.93715,0.96998,0.83348,0.57079,0.48901,0.87276,0.00064719,0.00064719,0.00064719
5,1651.79,0.62744,0.66714,0.90015,0.92004,0.9199,0.97012,0.84589,0.54055,0.46981,0.86163,0.000640587,0.000640587,0.000640587
6,1728.2,0.61175,0.61627,0.89393,0.94005,0.91918,0.97811,0.85589,0.52775,0.46189,0.85739,0.000633983,0.000633983,0.000633983
7,1804.53,0.60258,0.56278,0.88994,0.95439,0.96917,0.97857,0.85512,0.5325,0.40421,0.85882,0.00062738,0.00062738,0.00062738
8,1882.51,0.6067,0.54789,0.89165,0.9554,0.96174,0.9794,0.86267,0.52241,0.39094,0.85595,0.000620777,0.000620777,0.000620777
9,1959.29,0.60085,0.51313,0.89226,0.96813,0.95898,0.98252,0.85908,0.53326,0.3815,0.8588,0.000614174,0.000614174,0.000614174
10,2037.03,0.5895,0.49812,0.88475,0.96246,0.97416,0.98471,0.86817,0.514,0.35426,0.85078,0.00060757,0.00060757,0.00060757
11,2112.82,0.5894,0.47261,0.88652,0.97057,0.95969,0.98492,0.85879,0.53601,0.36861,0.86216,0.000600967,0.000600967,0.000600967
12,2187.89,0.58737,0.46602,0.89426,0.97274,0.9656,0.97949,0.86544,0.52207,0.35316,0.85548,0.000594364,0.000594364,0.000594364
13,2265.76,0.57551,0.44044,0.88416,0.95074,0.93549,0.9799,0.86732,0.51008,0.37833,0.84925,0.00058776,0.00058776,0.00058776
14,2341.5,0.57741,0.44366,0.88485,0.96409,0.97068,0.98192,0.86723,0.51107,0.33789,0.85361,0.000581157,0.000581157,0.000581157
15,2418.03,0.57378,0.43271,0.88693,0.95602,0.97144,0.98305,0.86729,0.5132,0.33971,0.85035,0.000574554,0.000574554,0.000574554
16,2494.54,0.55969,0.41135,0.87809,0.96748,0.96836,0.98536,0.87505,0.50983,0.34085,0.84962,0.00056795,0.00056795,0.00056795
17,2570.36,0.57239,0.4242,0.88128,0.93835,0.96952,0.98098,0.86392,0.52287,0.34432,0.85405,0.000561347,0.000561347,0.000561347
18,2647.76,0.56496,0.40489,0.87916,0.96917,0.96486,0.98577,0.87339,0.50171,0.31343,0.84721,0.000554744,0.000554744,0.000554744
19,2724.21,0.55605,0.39637,0.88126,0.96466,0.95932,0.98195,0.87444,0.49972,0.32699,0.84849,0.000548141,0.000548141,0.000548141
20,2800.64,0.56156,0.40142,0.8796,0.96141,0.96992,0.98409,0.87412,0.51123,0.31112,0.8502,0.000541537,0.000541537,0.000541537
21,2877.44,0.55732,0.38767,0.88084,0.97047,0.96191,0.98557,0.87909,0.5016,0.30828,0.84732,0.000534934,0.000534934,0.000534934
22,2954.03,0.55461,0.386,0.87647,0.96065,0.9728,0.98356,0.87544,0.50328,0.29869,0.84751,0.000528331,0.000528331,0.000528331
23,3031.83,0.55695,0.38059,0.87763,0.97844,0.95608,0.98598,0.87598,0.50135,0.31116,0.846,0.000521727,0.000521727,0.000521727
24,3108.84,0.54982,0.3748,0.87749,0.96331,0.96651,0.98481,0.87606,0.50044,0.29692,0.84687,0.000515124,0.000515124,0.000515124
25,3186.1,0.54572,0.37246,0.87532,0.98298,0.968,0.98832,0.88359,0.49992,0.28479,0.84648,0.000508521,0.000508521,0.000508521
26,3262.72,0.54055,0.35539,0.87,0.97427,0.9681,0.987,0.87902,0.50309,0.28983,0.84686,0.000501917,0.000501917,0.000501917
27,3338.73,0.54834,0.3633,0.8787,0.96974,0.97279,0.98625,0.88129,0.49641,0.2855,0.84414,0.000495314,0.000495314,0.000495314
28,3416.63,0.54227,0.36085,0.87445,0.97873,0.97129,0.98675,0.88197,0.4952,0.29174,0.84381,0.000488711,0.000488711,0.000488711
29,3493.46,0.54451,0.36203,0.87293,0.97469,0.97459,0.98672,0.87963,0.49645,0.29458,0.84493,0.000482108,0.000482108,0.000482108
30,3569.93,0.54354,0.3541,0.87487,0.97383,0.97236,0.98784,0.88421,0.49777,0.288,0.84344,0.000475504,0.000475504,0.000475504
31,3646.25,0.53358,0.34924,0.87149,0.97389,0.97308,0.98623,0.88009,0.50602,0.28866,0.85047,0.000468901,0.000468901,0.000468901
32,3722.03,0.53599,0.34252,0.87529,0.96913,0.97108,0.9869,0.88584,0.49502,0.28498,0.84502,0.000462298,0.000462298,0.000462298
33,3799.5,0.53104,0.34366,0.87022,0.96988,0.96779,0.98723,0.87943,0.50106,0.28065,0.84471,0.000455694,0.000455694,0.000455694
34,3875.16,0.53733,0.34246,0.87264,0.97364,0.97419,0.98712,0.8838,0.49554,0.28531,0.84455,0.000449091,0.000449091,0.000449091
35,3950.84,0.52693,0.339,0.86899,0.97334,0.96736,0.98618,0.88366,0.49786,0.28407,0.84842,0.000442488,0.000442488,0.000442488
36,4027.98,0.52508,0.33768,0.86783,0.9699,0.9729,0.98514,0.88221,0.49548,0.2849,0.84744,0.000435884,0.000435884,0.000435884
37,4104.09,0.52218,0.33463,0.86942,0.97196,0.9671,0.9843,0.88295,0.48814,0.28102,0.84155,0.000429281,0.000429281,0.000429281
38,4180.81,0.52061,0.33333,0.87051,0.97452,0.96121,0.98439,0.88249,0.49423,0.28725,0.84698,0.000422678,0.000422678,0.000422678
39,4257.6,0.51873,0.34147,0.86462,0.97297,0.97632,0.9877,0.88477,0.49326,0.28416,0.84559,0.000416075,0.000416075,0.000416075
40,4333.49,0.51781,0.3274,0.86779,0.97168,0.97133,0.98894,0.88613,0.48828,0.27814,0.84471,0.000409471,0.000409471,0.000409471
41,4410.32,0.52503,0.32387,0.86598,0.97971,0.96729,0.98674,0.88423,0.48486,0.27103,0.84115,0.000402868,0.000402868,0.000402868
42,4488.83,0.51062,0.32185,0.86448,0.97368,0.96267,0.98748,0.88598,0.49507,0.27434,0.84352,0.000396265,0.000396265,0.000396265
43,4564.73,0.51357,0.32398,0.86581,0.9614,0.98285,0.98551,0.8847,0.48859,0.27087,0.844,0.000389661,0.000389661,0.000389661
44,4641.98,0.51883,0.32725,0.87286,0.96536,0.97551,0.98487,0.88235,0.48501,0.27976,0.84338,0.000383058,0.000383058,0.000383058
45,4717.55,0.51653,0.31592,0.86981,0.9785,0.97679,0.9885,0.88874,0.49073,0.26912,0.84365,0.000376455,0.000376455,0.000376455
46,4795.38,0.50472,0.31127,0.86412,0.97411,0.97793,0.98876,0.88965,0.48264,0.26917,0.84112,0.000369851,0.000369851,0.000369851
47,4871.97,0.50736,0.30976,0.86654,0.9669,0.97772,0.98553,0.88745,0.49072,0.27376,0.84431,0.000363248,0.000363248,0.000363248
48,4947.95,0.50833,0.30961,0.86224,0.97769,0.967,0.9854,0.88366,0.49184,0.27045,0.84294,0.000356645,0.000356645,0.000356645
49,5024.98,0.49955,0.30593,0.86309,0.96348,0.97768,0.98445,0.88599,0.48104,0.27271,0.8396,0.000350042,0.000350042,0.000350042
50,5101.04,0.49992,0.30322,0.86226,0.9779,0.96975,0.98583,0.88862,0.48707,0.2731,0.84182,0.000343438,0.000343438,0.000343438
51,5176.59,0.4972,0.30913,0.85681,0.97524,0.97225,0.98722,0.88953,0.48274,0.26801,0.83983,0.000336835,0.000336835,0.000336835
52,5253.08,0.49783,0.30091,0.85928,0.97399,0.97147,0.9855,0.89118,0.48638,0.26846,0.84099,0.000330232,0.000330232,0.000330232
53,5329.32,0.50021,0.29877,0.8631,0.97994,0.96739,0.98783,0.88915,0.48321,0.26543,0.83978,0.000323628,0.000323628,0.000323628
54,5404.84,0.49418,0.29842,0.85786,0.97739,0.97238,0.98726,0.8892,0.48443,0.26308,0.84157,0.000317025,0.000317025,0.000317025
55,5481.4,0.49942,0.32382,0.85922,0.9741,0.97287,0.98513,0.88783,0.48682,0.26452,0.84166,0.000310422,0.000310422,0.000310422
56,5558.03,0.49467,0.2998,0.86277,0.97212,0.97502,0.98698,0.88591,0.48513,0.2667,0.8398,0.000303818,0.000303818,0.000303818
57,5634.3,0.49047,0.29669,0.85886,0.97302,0.97258,0.98741,0.88854,0.4835,0.26502,0.84078,0.000297215,0.000297215,0.000297215
58,5711.87,0.48726,0.2908,0.85867,0.97887,0.97658,0.98609,0.88831,0.48726,0.26755,0.84282,0.000290612,0.000290612,0.000290612
59,5788.01,0.49729,0.28959,0.8637,0.97218,0.97224,0.9855,0.8872,0.48453,0.26832,0.84149,0.000284009,0.000284009,0.000284009
60,5865.61,0.48669,0.28929,0.85646,0.98032,0.97212,0.98652,0.89228,0.48078,0.25892,0.83987,0.000277405,0.000277405,0.000277405
61,5941.95,0.48702,0.29037,0.85905,0.9744,0.97005,0.98896,0.88626,0.48492,0.25561,0.84272,0.000270802,0.000270802,0.000270802
62,6017.95,0.48147,0.28321,0.85756,0.9749,0.97454,0.98808,0.88779,0.48416,0.25388,0.84114,0.000264199,0.000264199,0.000264199
63,6095.68,0.48382,0.28368,0.85429,0.97209,0.97349,0.98625,0.88935,0.48225,0.26016,0.84066,0.000257595,0.000257595,0.000257595
64,6172.05,0.4809,0.28207,0.8574,0.96924,0.97573,0.98618,0.88864,0.48588,0.26384,0.84266,0.000250992,0.000250992,0.000250992
65,6251.02,0.47978,0.27879,0.85817,0.97671,0.9712,0.98478,0.89043,0.47842,0.25662,0.83833,0.000244389,0.000244389,0.000244389
66,6328.24,0.47375,0.27037,0.85189,0.97836,0.965,0.98411,0.89177,0.48118,0.26286,0.84159,0.000237785,0.000237785,0.000237785
67,6404.82,0.47597,0.27576,0.85557,0.97709,0.97038,0.98581,0.88986,0.48301,0.2605,0.84276,0.000231182,0.000231182,0.000231182
68,6482.88,0.4739,0.2742,0.85354,0.97626,0.97398,0.98496,0.88896,0.47906,0.25692,0.83958,0.000224579,0.000224579,0.000224579
69,6559.1,0.47322,0.27648,0.85622,0.97262,0.97198,0.98556,0.89193,0.47968,0.26268,0.84146,0.000217976,0.000217976,0.000217976
70,6636.98,0.46805,0.26868,0.8518,0.97604,0.96893,0.98512,0.88864,0.48213,0.26146,0.84275,0.000211372,0.000211372,0.000211372
71,6713.43,0.47174,0.26982,0.85618,0.97336,0.97337,0.98608,0.89141,0.48129,0.26284,0.84144,0.000204769,0.000204769,0.000204769
72,6792.76,0.47597,0.27611,0.85599,0.97424,0.96623,0.98495,0.88768,0.48476,0.26023,0.84245,0.000198166,0.000198166,0.000198166
73,6869.8,0.46503,0.26308,0.85089,0.96871,0.97492,0.98498,0.88978,0.47829,0.26507,0.84023,0.000191562,0.000191562,0.000191562
